# time (s) ,  q1,   q2  
2.6200e+02  8.9459e+02  8.9459e+02 
2.6250e+02  8.8539e+02  8.8539e+02 
2.6300e+02  8.7628e+02  8.7628e+02 
2.6350e+02  8.6727e+02  8.6727e+02 
2.6400e+02  8.5835e+02  8.5835e+02 
2.6450e+02  8.4952e+02  8.4952e+02 
2.6500e+02  8.4079e+02  8.4079e+02 
2.6550e+02  8.3214e+02  8.3214e+02 
2.6600e+02  8.2358e+02  8.2358e+02 
2.6650e+02  8.1511e+02  8.1511e+02 
2.6700e+02  8.0673e+02  8.0673e+02 
2.6750e+02  7.9843e+02  7.9843e+02 
2.6800e+02  7.9022e+02  7.9022e+02 
2.6850e+02  7.8209e+02  7.8209e+02 
2.6900e+02  7.7405e+02  7.7405e+02 
2.6950e+02  7.6608e+02  7.6608e+02 
2.7000e+02  7.5821e+02  7.5821e+02 
2.7050e+02  7.5041e+02  7.5041e+02 
2.7100e+02  7.4269e+02  7.4269e+02 
2.7150e+02  7.3505e+02  7.3505e+02 
2.7200e+02  7.2749e+02  7.2749e+02 
2.7250e+02  7.2001e+02  7.2001e+02 
2.7300e+02  7.1260e+02  7.1260e+02 
2.7350e+02  7.0527e+02  7.0527e+02 
2.7400e+02  6.9802e+02  6.9802e+02 
2.7450e+02  6.9084e+02  6.9084e+02 
2.7500e+02  6.8374e+02  6.8374e+02 
2.7550e+02  6.7670e+02  6.7670e+02 
2.7600e+02  6.6974e+02  6.6974e+02 
2.7650e+02  6.6286e+02  6.6286e+02 
2.7700e+02  6.5604e+02  6.5604e+02 
2.7750e+02  6.4929e+02  6.4929e+02 
